iter	Passed	Remaining
410	4163	5966
411	4172	5955
412	4182	5944
413	4191	5933
414	4201	5923
415	4211	5912
416	4221	5901
417	4230	5890
418	4240	5879
419	4250	5869
420	4259	5858
421	4269	5847
422	4279	5837
423	4288	5826
424	4298	5815
425	4307	5803
426	4316	5792
427	4325	5781
428	4335	5770
429	4344	5759
430	4354	5748
431	4364	5737
432	4374	5727
433	4383	5717
434	4393	5706
435	4403	5695
436	4412	5685
437	4422	5673
438	4431	5663
439	4441	5652
440	4450	5641
441	4460	5631
442	4470	5620
443	4479	5609
444	4488	5598
445	4498	5587
446	4508	5577
447	4517	5566
448	4527	5556
449	4537	5545
450	4547	5535
451	4556	5524
452	4569	5517
453	4578	5506
454	4588	5495
455	4597	5484
456	4607	5474
457	4617	5464
458	4628	5454
459	4639	5445
460	4649	5436
461	4659	5425
462	4669	5415
463	4680	5406
464	4690	5396
465	4700	5386
466	4711	5377
467	4721	5367
468	4732	5357
469	4742	5348
470	4754	5340
471	4764	5329
472	4774	5319
473	4784	5309
474	4794	5298
475	4803	5288
476	4813	5277
477	4822	5266
478	4832	5256
479	4842	5245
480	4851	5234
481	4861	5224
482	4870	5213
483	4880	5202
484	4890	5192
485	4900	5183
486	4911	5173
487	4921	5163
488	4930	5152
489	4940	5141
490	4949	5131
491	4959	5120
492	4969	5110
493	4978	5099
494	4988	5089
495	4998	5078
496	5007	5068
497	5017	5058
498	5027	5047
499	5036	5036
500	5050	5030
501	5066	5026
502	5085	5025
503	5102	5021
504	5116	5014
505	5130	5008
506	5140	4998
507	5151	4988
508	5161	4978
509	5176	4973
510	5191	4968
511	5206	4962
512	5222	4958
513	5239	4954
514	5254	4948
515	5269	4942
516	5285	4938
517	5300	4932
518	5318	4929
519	5334	4924
520	5350	4919
521	5365	4913
522	5381	4907
523	5396	4901
524	5412	4897
525	5428	4891
526	5444	4887
527	5461	4882
528	5477	4877
529	5494	4872
530	5508	4865
531	5524	4859
532	5540	4854
533	5555	4848
534	5571	4842
535	5587	4836
536	5605	4832
537	5617	4824
538	5630	4815
539	5640	4805
540	5651	4795
541	5666	4788
542	5681	4782
543	5695	4773
544	5706	4764
545	5718	4754
546	5730	4745
547	5742	4736
548	5753	4726
549	5765	4717
550	5777	4708
551	5789	4698
552	5799	4687
553	5811	4678
554	5822	4668
555	5839	4662
556	5848	4651
557	5860	4642
558	5871	4631
559	5881	4621
560	5891	4610
561	5901	4599
562	5911	4588
563	5922	4578
564	5933	4568
565	5944	4558
566	5954	4547
567	5965	4537
568	5975	4526
569	5986	4515
570	5996	4505
571	6006	4494
572	6016	4483
573	6027	4473
574	6038	4463
575	6049	4453
576	6059	4442
577	6071	4432
578	6084	4424
579	6097	4415
580	6108	4405
581	6121	4396
582	6132	4386
583	6145	4377
